日期,摘要,金额
2025-12-05,工资发放,15000
2025-12-06,美团外卖订单,-35.50
2025-12-06,地铁充值,-100
2025-12-07,淘宝购物,-299
2025-12-08,餐厅聚餐,-188
2025-12-10,饿了么午餐,-28
2025-12-12,滴滴打车,-45.60
2025-12-15,房租支付,-3500
2025-12-16,水电煤缴费,-320
2025-12-18,京东商城,-567.80
2025-12-20,电影票2张,-98
2025-12-22,话费充值,-100
2025-12-25,年终奖金,8000
2025-12-26,加油站加油,-400
2025-12-28,超市购物,-256.30
2025-12-30,医院挂号,-50
2025-12-05,银行卡转账到支付宝,-2000
2025-12-05,支付宝转入,2000
2025-12-10,信用卡还款,-3500
2025-12-10,信用卡自动还款,-3500
2025-12-15,微信零钱提现,1500
2025-12-15,微信提现到银行卡,1500
2025-12-20,同事报销差旅费,2500
2025-12-21,差旅费垫付,-2500
2026-01-05,工资发放,15500
2026-01-06,美团外卖订单,-42
2026-01-07,地铁充值,-100
2026-01-08,朋友聚餐餐厅,-320
2026-01-10,拼多多购物,-178
2026-01-12,公交卡充值,-50
2026-01-15,房租支付,-3500
2026-01-16,水电煤缴费,-280
2026-01-18,天猫商城,-445
2026-01-20,游戏充值,-198
2026-01-22,话费充值,-50
2026-01-25,投资收益,500
2026-01-26,滴滴出行,-67.50
2026-01-28,药店买药,-89
2026-01-10,银行卡互转,-5000
2026-01-10,他行转入,5000
2026-01-25,报销款到账,1800
2026-01-24,办公用品采购,-1800
2026-02-05,工资发放,15500
2026-02-06,美团订单,-38
2026-02-07,地铁充值,-100
2026-02-08,淘宝购物,-678
2026-02-10,餐厅消费,-156
2026-02-12,滴滴快车,-23.80
2026-02-15,房租支付,-3500
2026-02-16,物业缴费,-450
2026-02-18,京东购物,-389
2026-02-20,电影票,-76
2026-02-22,话费充值,-100
2026-02-25,项目奖金,3000
2026-02-26,加油站,-350
2026-02-28,学费缴纳,-2000
2026-01-31,信用卡还款,-4200
2026-02-01,信用卡还款日,-4200
2026-03-05,工资发放,15500
2026-03-06,美团外卖,-45
2026-03-07,地铁充值,-100
2026-03-08,拼多多购物,-234
2026-03-10,餐饮消费,-145
2026-03-12,公交车费,-20
2026-03-15,房租支付,-3500
2026-03-16,水电费,-295
2026-03-18,购物商城,-520
2026-03-20,游戏娱乐,-328
2026-03-22,手机话费,-50
2026-03-25,利息收入,80
2026-03-26,打车费用,-55
2026-03-28,医院检查,-380
2026-03-15,微信提现到银行卡,3000
2026-03-15,微信零钱提现,-3000
2026-04-05,工资发放,16000
2026-04-06,美团外卖,-33
2026-04-07,地铁充值,-150
2026-04-08,淘宝购物,-890
2026-04-10,餐厅用餐,-210
2026-04-12,滴滴打车,-38
2026-04-15,房租支付,-3500
2026-04-16,水电煤,-310
2026-04-18,京东商城,-675
2026-04-20,电影票,-120
2026-04-22,话费,-100
2026-04-25,绩效奖金,5000
2026-04-26,加油,-420
2026-04-28,药店,-135
2026-04-10,转账给家人,-3000
2026-04-11,家人转账归还,3000
2026-05-05,工资发放,16000
2026-05-06,外卖订单,-29
2026-05-07,地铁充值,-100
2026-05-08,天猫购物,-760
2026-05-10,餐饮消费,-178
2026-05-12,公交,-30
2026-05-15,房租,-3500
2026-05-16,水电,-275
2026-05-18,拼多多,-445
2026-05-20,游戏充值,-256
2026-05-22,话费充值,-50
2026-05-25,其他收入,200
2026-05-26,滴滴,-48
2026-05-28,体检费用,-580
2026-05-20,差旅费报销,3200
2026-05-18,出差酒店费用,-3200
2026-06-05,工资发放,16000
2026-06-06,美团外卖,-52
2026-06-07,地铁充值,-100
2026-06-08,淘宝购物,-567
2026-06-10,餐厅,-265
2026-06-12,滴滴出行,-35
2026-06-15,房租支付,-3500
2026-06-16,水电费,-290
2026-06-18,京东购物,-890
2026-06-20,电影票,-88
2026-06-22,话费,-100
2026-06-10,信用卡还款,-5500
2026-06-10,信用卡自动扣款,-5500
